iter	Passed	Remaining
0	16	16712
1	31	15790
2	38	12722
3	60	15155
4	67	13433
5	73	12232
6	81	11526
7	87	10833
8	94	10425
9	101	10006
10	107	9705
11	115	9488
12	121	9224
13	128	9063
14	135	8899
15	142	8733
16	148	8594
17	154	8423
18	161	8360
19	167	8224
20	174	8123
21	180	8045
22	187	7948
23	194	7911
24	200	7821
25	207	7756
26	213	7685
27	219	7612
28	226	7575
29	232	7514
30	238	7454
31	244	7409
32	250	7352
33	257	7326
34	264	7289
35	271	7265
36	277	7231
37	283	7181
38	290	7153
39	296	7106
40	301	7059
41	308	7045
42	314	7006
43	321	6984
44	327	6950
45	333	6914
46	340	6899
47	346	6868
48	352	6844
49	359	6829
50	366	6823
51	373	6812
52	380	6802
53	388	6809
54	394	6786
55	401	6762
56	407	6747
57	413	6718
58	421	6719
59	428	6711
60	435	6703
61	443	6708
62	450	6700
63	458	6708
64	465	6698
65	474	6715
66	481	6708
67	490	6729
68	500	6750
69	508	6756
70	516	6761
71	525	6767
72	533	6771
73	540	6766
74	551	6798
75	558	6789
76	566	6791
77	574	6788
78	582	6786
79	590	6793
80	599	6803
81	607	6802
82	616	6810
83	623	6804
84	633	6814
85	641	6814
86	651	6833
87	659	6831
88	667	6834
89	675	6834
90	684	6838
91	692	6831
92	701	6840
93	709	6842
94	719	6857
95	728	6859
96	736	6852
97	744	6853
98	752	6845
99	759	6838
100	767	6832
101	775	6824
102	783	6822
103	791	6815
104	799	6816
105	806	6805
106	814	6796
107	821	6787
108	829	6781
109	836	6765
110	843	6758
111	851	6749
112	858	6735
113	865	6727
114	871	6710
115	880	6707
116	886	6691
117	893	6680
118	899	6662
119	905	6641
120	912	6629
121	918	6608
122	924	6589
123	931	6580
124	937	6564
125	945	6555
126	951	6541
127	957	6525
128	964	6510
129	969	6491
130	976	6480
131	984	6472
132	990	6459
133	997	6444
134	1002	6426
135	1010	6416
136	1016	6400
137	1022	6386
138	1029	6373
139	1034	6356
140	1041	6347
141	1048	6332
142	1054	6317
143	1060	6305
144	1066	6288
145	1073	6276
146	1079	6265
147	1085	6250
148	1093	6245
149	1099	6233
150	1108	6233
151	1116	6231
152	1124	6225
153	1131	6215
154	1138	6209
155	1145	6197
156	1151	6185
157	1158	6174
158	1164	6161
159	1172	6156
160	1179	6145
161	1186	6136
162	1193	6127
163	1199	6114
164	1206	6107
165	1213	6094
166	1219	6085
167	1226	6073
168	1233	6064
169	1240	6056
170	1246	6043
171	1253	6034
172	1260	6025
173	1267	6017
174	1274	6007
175	1280	5996
176	1288	5990
177	1297	5990
178	1305	5986
179	1311	5975
180	1318	5967
181	1326	5960
182	1332	5950
183	1339	5939
184	1345	5927
185	1352	5918
186	1359	5909
187	1366	5902
188	1374	5896
189	1382	5894
190	1389	5887
191	1396	5876
192	1404	5872
193	1410	5860
194	1417	5852
195	1423	5840
196	1430	5829
197	1436	5819
198	1442	5806
199	1449	5796
200	1455	5784
201	1461	5773
202	1469	5768
203	1475	5757
204	1482	5748
205	1488	5737
206	1494	5725
207	1501	5716
208	1507	5703
209	1513	5694
210	1520	5685
211	1527	5679
212	1534	5670
213	1540	5659
214	1547	5651
215	1553	5639
216	1559	5626
217	1566	5618
218	1572	5607
219	1579	5599
220	1585	5587
221	1590	5574
222	1597	5566
223	1603	5555
224	1609	5544
225	1616	5534
226	1621	5522
227	1628	5514
228	1635	5506
229	1641	5495
230	1648	5486
231	1653	5474
232	1659	5464
233	1666	5454
234	1671	5442
235	1678	5434
236	1684	5423
237	1690	5412
238	1697	5404
239	1703	5394
240	1710	5385
241	1716	5375
242	1722	5365
243	1729	5357
244	1735	5347
245	1741	5337
246	1747	5326
247	1753	5315
248	1759	5307
249	1765	5297
250	1771	5287
251	1778	5279
252	1784	5269
253	1791	5261
254	1798	5253
255	1804	5243
256	1811	5235
257	1816	5225
258	1823	5216
259	1829	5207
260	1835	5196
261	1842	5189
262	1848	5179
263	1854	5169
264	1860	5161
265	1866	5150
266	1873	5143
267	1879	5132
268	1884	5121
269	1891	5114
270	1897	5103
271	1903	5094
272	1910	5087
273	1916	5077
274	1923	5070
275	1929	5060
276	1936	5053
277	1942	5045
278	1948	5035
279	1954	5026
280	1960	5017
281	1966	5007
282	1973	5000
283	1998	5037
284	2005	5030
285	2011	5022
286	2018	5013
287	2024	5005
288	2031	4997
289	2038	4990
